商品コード,商品名,規格,売上単重
00110GK316,銅管　Ｈ,31.75X1.8X5000,7.574
00110GK318,銅管　Ｈ,31.75X2.0X5000,8.36
00110GK382,銅管　Ｈ,38.1X1.3X5000,6.722
00110GK384,銅管　Ｈ,38.1X1.6X5000,8.205
00110GK386,銅管　Ｈ,38.1X2.0X5000,10.144
00110GK388,銅管　Ｈ,38.1X2.3X5000,11.569
00110GK412,銅管　Ｈ,41.28X1.5X5000,8.384
00110GK441,銅管　Ｈ,44.45X1.5X5000,9.052
00110GK442,銅管　Ｈ,44.45X2.0X5000,11.928
00110GK444,銅管　Ｈ,44.45X2.4X5000,14.179
00110GK502,銅管　Ｈ,50.8X1.6X5000,11.06
00110GK504,銅管　Ｈ,50.8X2.0X5000,13.713
00110GK525,銅管　Ｈ,53.98X1.3X5000,9.622
00110HD000,銅管　Ｈ,,0
00110HD001,銅管　Ｈ,,0
00110HK041,銅管　Ｈ,4X0.5X4000,0.197
00110II190,銅管　Ｈ,19.05X1.65X5000,4.034
00110II280,銅管　Ｈ,28X2.0X5000,7.306
00110II410,銅管　Ｈ,41.28X2.0X5000,11.038
00110IK000,銅管　Ｈ,,0
00110IN010,銅管　Ｈ,19.05X1.0X5000,2.536
00110IN020,銅管　Ｈ,22.22X1.65X4000,3.815
00110IN150,銅管　Ｈ,15.88X0.8X5000,1.695
00110IN190,銅管　Ｈ,19.05X1.0X5000,2.536
00110IN220,銅管　Ｈ,22.22X1.65X4000,3.815
00110IS000,銅管　Ｈ,,0
00110IS164,銅管　Ｈ,16X4.0X5000,6.744
00110IS205,銅管　Ｈ,20X5.0X5000,10.538
00110IS224,銅管　Ｈ,22X4.0X5000,10.116
00110IS225,銅管　Ｈ,22X5.0X5000,11.943
00110IS254,銅管　Ｈ,25X4.0X5000,11.802
00110IS255,銅管　Ｈ,25X5.0X5000,14.05
00110IS305,銅管　Ｈ,30X5.0X5000,17.563
00110IS503,銅管　Ｈ,50X3.0X5000,19.811
00110IS505,銅管　Ｈ,50X5.0X5000,31.613
00110IT000,銅管　Ｈ,,0
00110IT195,銅管　Ｈ,19.5φX3.75tX2000,3.319
00110IT200,銅管　Ｈ,20X4.0X5000,8.992
00110IT202,銅管　Ｈ,20X4.2X2000,3.729
00110IT204,銅管　Ｈ,20X5.0X5000,10.538
00110IT250,銅管　Ｈ,25X4.8X2000,5.449
00110IT254,銅管　Ｈ,24.5φX3.75tX2000,4.373
00110IT330,銅管　Ｈ,33X4.0X2000,6.519
00110IT380,銅管　Ｈ,38XID18.6X2000,20.279
00110IT400,銅管　Ｈ,40X5.0X1660,8.163
00110IT470,銅管　Ｈ,OD47XID24.6X2000,30.968
00110IT500,銅管　Ｈ,50X5.0X1660,10.495
00110IT550,銅管　Ｈ,55φXID32.6φX2000L,41.039
00110IT635,銅管　Ｈ,63.5XIN37X2000,55.104
00110IT780,銅管　Ｈ,78φXID49.7φX2000L,79.046
00110IW000,銅管　Ｈ,,0
00110KA000,銅管　Ｈ,,0
00110KA160,銅管　Ｈ,16X0.6X3360,0.872
00110KA170,銅管　Ｈ,17X1.4X5000,3.069
00110KA250,銅管　Ｈ,25X3.0X5000,9.273
00110KB000,銅管　Ｈ,,0
00110KD412,銅管　Ｈ,41.28X1.52X50,0.085
00110KD601,銅管　Ｈ,60X1.5tX5000,12.329
00110KG001,銅管　Ｈ,,0
00110KN000,銅管　Ｈ,,0
00110KN150,銅管　Ｈ,15.88X0.8X5000,1.695
00110KN152,銅管　Ｈ,15.88X1.0X5000,2.091
00110KN155,銅管　Ｈ,15.88X1.2X4400,2.178
00110KN157,銅管　Ｈ,15.88X1.2X5000,2.475
00110KS000,銅管　Ｈ,,0
00110KV075,銅管　Ｈ 004320-P3,20.6X2.05X75,0.08
00110KV100,銅管　Ｈ 044502-P3,20.6X2.05X100,0.107
00110KV300,銅管　Ｈ 046767-P3,20.6X2.05X300,0.321
00110KV350,銅管　Ｈ 046742-P3,20.6X2.05X350,0.374
00110KV362,銅管　Ｈ 004826-P3,20.6X2.05X362,0.387
00110KV400,銅管　Ｈ 041615-P3,20.6X2.05X400,0.427
00110KV420,銅管　Ｈ 410471-P3,20.6X2.05X420,0.449
00110MA000,銅管　Ｈ,,0
00110MA091,銅管　Ｈ,9.53X1.0X52,0.012
00110MA121,銅管　Ｈ,12.7X1.5X52,0.025
00110MA123,銅管　Ｈ,12.7X2.0X5000,3.007
00110MA151,銅管　Ｈ,15.88X1.0X52,0.022
00110MA221,銅管　Ｈ,22.22X1.14X960,0.648
00110MA341,銅管　Ｈ,34.92X1.4X1035,1.365
00110MA501,銅管　Ｈ,50.8X1.65X75,0.171
00110MA503,銅管　Ｈ,50.8X1.65X220,0.501
00110MA505,銅管　Ｈ,50.8X1.65X1050,2.393
00110MA761,銅管　Ｈ（マフラー小）,76.2X2.5X152,0.787
00110MA763,銅管　Ｈ（マフラー大）,76.2X2.5X173,0.896
00110MJ010,銅管　Ｈ,19.05X0.4X1596 1840W,0.335
00110MJ020,銅管　Ｈ,19.05X0.4X1796 2040W,0.376
00110MJ030,銅管　Ｈ,19.05X0.4X1996 2240W,0.418
00110MJ040,銅管　Ｈ,19.05X0.4X2096 2340W,0.439
00110MJ050,銅管　Ｈ,19.05X0.38X1596,0.318
00110MJ060,銅管　Ｈ,19.05X0.38X1796,0.358
00110MJ070,銅管　Ｈ,19.05X0.38X1996,0.398
00110MJ080,銅管　Ｈ,19.05X0.38X2096,0.418
00110NS101,銅管　Ｈ,66.68X0.8X4000,5.924
00110OS079,銅管　Ｈ（ＮＷ）,79.38X1.5X4000,13.131
00110OS080,銅管　Ｈ（ＮＷ）,79.38X1.83X4000,15.951
00110SG000,銅管　Ｈ,,0
00110SI180,銅管　Ｈ,18X2.0X5000,4.496
00110SI220,銅管　Ｈ,22X3.0X5000,8.009
00110SK079,銅管　Ｈ（ＮＷ）,79.38X1.83X4000,15.951
00110SK104,銅管　Ｈ（ＮＷ）,104.78X2.79X4000,31.984
00110SS000,銅管　Ｈ,,0
00110SS001,銅管　Ｈ,38.1X1.0X4940,5.15
00110SS127,銅管　Ｈ,12.7X0.6X60,0.012
00110SU000,銅管　Ｈ,,0
00110SU151,銅管　Ｈ,15.88X0.8X5000,1.695
00110SU191,銅管　Ｈ,19.05X1.0X5000,2.536
00110SU221,銅管　Ｈ,22.23X1.0X5000,2.983
00110SU281,銅管　Ｈ,28.58X1.0X5000,3.875
00110TA000,銅管　Ｈ,,0
00110TA095,銅管　Ｈ,9.52X1.2X5000,1.403
00110TA121,銅管　Ｈ,12X0.5X1060,0.171
00110TA123,銅管　Ｈ,12X0.5X5000,0.808
00110TA151,銅管　Ｈ,15.88X0.6X660,0.17
00110TA153,銅管　Ｈ,15.88X0.6X1660,0.428
00110TA156,銅管　Ｈ,15.88X1.0X5000,2.091
00110TA311,銅管　Ｈ,31.75X2.0X5000,8.36
00110TA501,銅管　Ｈ,50.8X3.0X5000,20.148
00110TA502,銅管　Ｈ,50.8X4.0X5000,26.302
00110TA635,銅管　Ｈ,63.5X4.0X5000,33.439
00110TA889,銅管　Ｈ,88.9X3.0X5000,36.207
00110TG889,銅管　Ｈ,88.9X5.0X5000,58.94
00110TO000,銅管　Ｈ,,0
00110TO191,銅管　Ｈ,19XIN15.5X5000,7.622
00110TO201,銅管　Ｈ,20X2.0X5000,5.058
00110TO203,銅管　Ｈ,20X3.5X5000,8.114
00110TO301,銅管　Ｈ,30X2.5X5000,9.659
00110TO303,銅管　Ｈ,30X3X5000,11.381
00110TO305,銅管　Ｈ,30X4.0X5000,14.612
00110TO401,銅管　Ｈ,40X2.5X5000,13.172
00110TO501,銅管　Ｈ,50X3X5000,19.811
00110TY001,銅管　Ｈ,,0
00110WD004,銅管　Ｈ,4X1.0X5000,0.422
00110WD005,銅管　Ｈ,4X0.8X5000,0.36
00110WD006,銅管　Ｈ,6X1.0X5000,0.703
00110WD008,銅管　Ｈ,8X0.8X5000,0.809
00110WD010,銅管　Ｈ,10X1.0X5000,1.265
00110WD012,銅管　Ｈ,12X1.0X5000,1.546
00110YK000,銅管　Ｈ,,0
00110YS000,銅管　Ｈ,,0
0020106010,銅管　Ｈ,6X1.5X5000,0.948
0020109510,銅管　Ｈ,9.52X0.5X5000,0.634
0020109520,銅管　Ｈ,9.52X0.8X5000,0.98
0020109530,銅管　Ｈ,9.52X1.0X5000,1.197
0020112710,銅管　Ｈ,12.7X0.8X5000,1.338
0020112720,銅管　Ｈ,12.7X1.0X5000,1.644
0020112730,銅管　Ｈ,12.7X1.2X5000,1.939
0020114010,銅管　Ｈ,14X2.0X5000,3.372
0020115810,銅管　Ｈ,15.88X0.5X5000,1.08
0020115820,銅管　Ｈ,15.88X0.6X5000,1.288
0020115830,銅管　Ｈ,15.88X0.8X5000,1.695
0020115840,銅管　Ｈ,15.88X1.0X5000,2.091
0020115850,銅管　Ｈ,15.88X1.2X5000,2.475
0020116010,銅管　Ｈ,16X4.0X5000,6.744
0020119510,銅管　Ｈ,19.05X0.8X5000,2.051
0020119520,銅管　Ｈ,19.05X1.0X5000,2.536
0020119530,銅管　Ｈ,19.05X1.2X5000,3.01
0020120010,銅管　Ｈ,20X3.5X5000,8.114
0020122010,銅管　Ｈ,22X1.5X5000,4.32
0020122019,銅管　Ｈ,22X2.0X2500,2.81
0020122020,銅管　Ｈ,22X2.0X5000,5.62
0020122030,銅管　Ｈ,22X4.0X5000,10.116
0020122040,銅管　Ｈ,22X5.0X5000,11.943
0020122210,銅管　Ｈ,22.22X1.0X5000,2.981
0020122220,銅管　Ｈ,22.22X1.2X5000,3.544
0020125010,銅管　Ｈ,25X3.0X5000,9.273
0020125020,銅管　Ｈ,25X4.0X5000,11.802
0020125030,銅管　Ｈ,25X5.0X5000,14.05
0020125410,銅管　Ｈ,25.4X1.0X5000,3.428
0020125420,銅管　Ｈ,25.4X1.2X5000,4.08
0020128510,銅管　Ｈ,28.58X1.0X5000,3.875
0020128520,銅管　Ｈ,28.58X1.2X5000,4.616
0020128530,銅管　Ｈ,28.58X1.4X5000,5.346
0020128540,銅管　Ｈ,28.58X1.5X5000,5.707
0020130010,銅管　Ｈ,30X1.2X5000,4.856
0020130020,銅管　Ｈ,30X5.0X5000,17.563
0020131010,銅管　Ｈ,31X8.0X5000,25.852
0020131710,銅管　Ｈ,31.75X1.0X5000,4.32
0020131720,銅管　Ｈ,31.75X1.2X5000,5.151
0020131730,銅管　Ｈ,31.75X1.4X5000,5.97
0020134910,銅管　Ｈ,31.75X1.5X5000,6.375
0020134920,銅管　Ｈ,34.92X1.0X5000,4.766
0020134930,銅管　Ｈ,34.92X1.2X5000,5.685
0020134940,銅管　Ｈ,34.92X1.4X5000,6.593
0020138110,銅管　Ｈ,38.1X1.0X5000,5.213
0020138120,銅管　Ｈ,38.1X2.0X2500,5.072
0020138125,銅管　Ｈ,38.1X1.2X5000,6.221
0020138130,銅管　Ｈ,38.1X1.4X5000,7.219
0020138140,銅管　Ｈ,38.1X1.5X5000,7.713
0020138150,銅管　Ｈ,38.1X2.0X5000,10.144
0020138160,銅管　Ｈ,38.1X3.0X5000,14.795
0020140010,銅管　Ｈ,40X4.0X5000,20.232
0020140020,銅管　Ｈ,40X5.0X5000,24.588
0020141210,銅管　Ｈ,41.28X1.2X5000,6.757
0020141220,銅管　Ｈ,41.28X1.4X5000,7.844
0020141230,銅管　Ｈ,41.28X2.0X5000,11.038
0020144410,銅管　Ｈ,44.45X1.2X5000,7.292
0020144420,銅管　Ｈ,44.45X1.5X5000,9.052
0020150010,銅管　Ｈ,50X5.0X5000,31.613
0020150810,銅管　Ｈ,50.8X1.5X5000,10.39
0020150820,銅管　Ｈ,50.8X1.8X5000,12.392
0020150830,銅管　Ｈ,50.8X2.0X5000,13.713
0020153910,銅管　Ｈ,53.98X2.0X5000,14.606
0020155010,銅管　Ｈ,55X3.0X5000,21.918
0020163510,銅管　Ｈ,63.5X2.0X5000,17.282
0020163520,銅管　Ｈ,63.5X3.0X5000,25.501
0020166610,銅管　Ｈ,66.68X2.0X5000,18.175
0020176210,銅管　Ｈ,76.2X2.0X5000,20.85
0020176220,銅管　Ｈ,76.2X3.0X5000,30.854
0020179310,銅管　Ｈ,79.38X2.0X5000,21.744
0020188910,銅管　Ｈ,88.9X2.3X5000,27.985
0020191005,銅管　Ｈ,101.6X2.0X5000,27.988
0020191010,銅管　Ｈ,104.78X3.0X5000,42.9
0020191110,銅管　Ｈ,114.3X3.0X5000,46.913
0020191310,銅管　Ｈ,130.18X3.0X5000,53.606
0020210125,銅管　Ｈ（ＮＷ）,10X1.2X5000,1.484
0020220165,銅管　Ｈ（ＮＷ）,20X1.6X5000,4.136
0020225165,銅管　Ｈ（ＮＷ）,25X1.6X5000,5.26
0020235165,銅管　Ｈ（ＮＷ）,35X1.6X5000,7.508
00210DA081,銅管　Ｈ,8.0X0.7X5000,0.718
00210DA091,銅管　Ｈ,IN9.65X0.7X5000,1.018
00210DA121,銅管　Ｈ,12.7X0.8X5000,1.338
00210DA221,銅管　Ｈ,22.22X0.81X5000,2.437
00210DA411,銅管　Ｈ,41.28X1.83X5000,10.143
00210DA551,銅管　Ｈ,55X3.0X5000,21.918
00210II190,銅管　Ｈ,19.05X1.65X5000,4.034
00210II280,銅管　Ｈ,28X2.0X5000,7.306
00210II410,銅管　Ｈ,41.28X2.0X5000,11.038
00210IN010,銅管　Ｈ,19.05X1.0X5000,2.536
00210IN020,銅管　Ｈ,,0
00210IN150,銅管　Ｈ,15.88X0.8X5000,1.695
00210IN190,銅管　Ｈ,19.05X1.0X5000,2.536
00210IN220,銅管　Ｈ,22.22X1.65X4000,3.815
00210IS164,銅管　Ｈ,16X4.0X5000,6.744
00210IS205,銅管　Ｈ,20X5.0X5000,10.538
00210IS224,銅管　Ｈ,22X4.0X5000,10.116
00210IS225,銅管　Ｈ,22X5.0X5000,11.943
00210IS254,銅管　Ｈ,25X4.0X5000,11.802
00210IS255,銅管　Ｈ,25X5.0X5000,14.05
00210IS305,銅管　Ｈ,30X5.0X5000,17.563
00210IS503,銅管　Ｈ,50X3.0X5000,19.811
00210IS505,銅管　Ｈ,50X5.0X5000,31.613
00210IT200,銅管　Ｈ,20X4.0X5000,8.992
00210IT204,銅管　Ｈ,20X5.0X5000,10.538
00210JC001,銅管　Ｈ,15.88X1.0X5000,2.091
00210JC002,銅管　Ｈ,15.88X1.2X5000,2.475
00210JC003,銅管　Ｈ,15.88X0.6X5000,1.288
00210KA170,銅管　Ｈ,17X1.4X5000,3.069
00210KA250,銅管　Ｈ,25X3.0X5000,9.273
00210KD601,銅管　Ｈ,60X1.5tX5000,12.329
00210KN150,銅管　Ｈ,15.88X0.8X5000,1.695
00210KN152,銅管　Ｈ,15.88X1.0X5000,2.091
00210KN157,銅管　Ｈ,15.88X1.2X5000,2.475
00210MA123,銅管　Ｈ,12.7X2.0X5000,3.007
00210SA382,銅管　Ｈ,38.1X2.0X5000,10.144
00210SA501,銅管　Ｈ,50.8X1.5X5000,10.39
00210SI180,銅管　Ｈ,18X2.0X5000,4.496
00210SI220,銅管　Ｈ,22X3.0X5000,8.009
00210SS002,銅管　Ｈ,IN17.45X0.7X5000,1.647
00210SS003,銅管　Ｈ,IN23.4X1.0X5000,3.147
00210SS004,銅管　Ｈ,IN41.6X1.2X5000,7.216
00210SS005,銅管　Ｈ,58.0X1.0X5000,8.009
00210SU151,銅管　Ｈ,15.88X0.8X5000,1.695
00210SU191,銅管　Ｈ,19.05X1.0X5000,2.536
00210SU221,銅管　Ｈ,22.23X1.0X5000,2.983
00210SU281,銅管　Ｈ,28.58X1.0X5000,3.875
00210TA095,銅管　Ｈ,9.52X1.2X5000,1.403
00210TA123,銅管　Ｈ,12X0.5X5000,0.808
00210TA156,銅管　Ｈ,15.88X1.0X5000,2.091
00210TA311,銅管　Ｈ,31.75X2.0X5000,8.36
00210TA501,銅管　Ｈ,50.8X3.0X5000,20.148
00210TA502,銅管　Ｈ,50.8X4.0X5000,26.302
00210TA635,銅管　Ｈ,63.5X4.0X5000,33.439
00210TA889,銅管　Ｈ,88.9X3.0X5000,36.207
00210TG889,銅管　Ｈ,88.9X5.0X5000,58.94
00210TO191,銅管　Ｈ,19XIN15.5X5000,4.241
00210TO201,銅管　Ｈ,20X2.0X5000,5.058
00210TO203,銅管　Ｈ,20X3.5X5000,8.114
00210TO301,銅管　Ｈ,30X2.5X5000,9.659
00210TO303,銅管　Ｈ,30X3X5000,11.381
00210TO305,銅管　Ｈ,30X4.0X5000,14.612
00210TO401,銅管　Ｈ,40X2.5X5000,13.172
00210TO501,銅管　Ｈ,50X3X5000,19.811
00210TZ001,銅管　Ｈ,,0
0030000010,銅管　１／２Ｈ,,0
0030100310,銅管　１／２Ｈ,3.175X0.8X2000,1.392
0030100605,銅管　１／２Ｈ,6X0.8X4000,0.468
0030104010,銅管　１／２Ｈ,4X1.0X2500,0.211
0030106001,銅管　１／２Ｈ,6X0.8X1666,0.195
0030106003,銅管　１／２Ｈ,6X0.8X2500,0.292
0030106005,銅管　１／２Ｈ,6X1.0X2500,0.351
0030106007,銅管　１／２Ｈ,6X1.0X1000,0.141
0030106010,銅管　１／２Ｈ,6X1.0X4000,0.562
0030106020,銅管　１／２Ｈ,6X1.2X2500,0.405
0030106025,銅管　１／２Ｈ,6X1.5X4000,0.759
0030106302,銅管　１／２Ｈ,6.35X0.8X2500,0.312
0030106310,銅管　１／２Ｈ,6.35X0.8X4000,0.499
0030106320,銅管　１／２Ｈ,6.35X1.0X4000,0.601
0030108005,銅管　１／２Ｈ,8X0.8X2500,0.405
0030108010,銅管　１／２Ｈ,8X0.8X4000,0.647
0030108015,銅管　１／２Ｈ,8X1.0X2500,0.492
0030108020,銅管　１／２Ｈ,8X1.0X4000,0.787
0030108022,銅管　１／２Ｈ,8X1.5X2500,0.685
0030109510,銅管　１／２Ｈ,9.52X0.8X4000*,0.784
0030109515,銅管　１／２Ｈ,9.52X1.0X2000,0.479
0030109520,銅管　１／２Ｈ,9.52X1.0X4000,0.958
0030110006,銅管　１／２Ｈ,10X1.0X1781,0.45
0030110008,銅管　１／２Ｈ,10X1.0X2000,0.506
0030110010,銅管　１／２Ｈ,10X1.0X4000,1.012
0030110030,銅管　１／２Ｈ,10X2.0X2500,1.124
0030112010,銅管　１／２Ｈ,12X1.0X4000,1.236
0030112100,銅管　１／２Ｈ,12X1.2X2500,0.91
0030112705,銅管　１／２Ｈ,12.7X0.8X2000,0.535
0030112710,銅管　１／２Ｈ,12.7X0.8X4000*,1.07
0030112720,銅管　１／２Ｈ,12.7X1.0X4000,1.315
0030112724,銅管　１／２Ｈ,12.7X1.2X2000,0.776
0030112725,銅管　１／２Ｈ,12.7X1.2X2500,0.969
0030112730,銅管　１／２Ｈ,12.7X1.2X4000,1.551
0030112740,銅管　１／２Ｈ,12.7X1.5X2500,1.18
0030115011,銅管　１／２Ｈ,15X1.2X1000,0.465
0030115015,銅管　１／２Ｈ,15X1.2X4000,1.861
0030115035,銅管　１／２Ｈ,15X2.0X2500,1.827
0030115037,銅管　１／２Ｈ,15X2.0X3000,2.192
0030115040,銅管　１／２Ｈ,15X2.0X4000,2.922
0030115805,銅管　１／２Ｈ,15.88X0.8X4000,1.356
0030115810,銅管　１／２Ｈ,15.88X1.0X4000*,1.673
0030115813,銅管　１／２Ｈ,15.88X1.0X2000,0.836
0030115820,銅管　１／２Ｈ,15.88X1.2X4000,1.98
0030115830,銅管　１／２Ｈ,15.88X1.5X2500,1.515
0030116010,銅管　１／２Ｈ,16X1.0X2500,1.054
0030118010,銅管　１／２Ｈ,18X1.5X2500,1.739
0030119505,銅管　１／２Ｈ,19.05X0.8X4000,1.641
0030119510,銅管　１／２Ｈ,19.05X1.0X4000*,2.029
0030119520,銅管　１／２Ｈ,19.05X1.05X4000*,2.124
0030119525,銅管　１／２Ｈ,19.05X1.2X2500,1.505
0030119530,銅管　１／２Ｈ,19.05X1.2X4000,2.408
0030120006,銅管　１／２Ｈ,20X1.2X2000,1.268
0030120010,銅管　１／２Ｈ,20X1.8X2500,2.301
0030122010,銅管　１／２Ｈ,22X1.5X2500,2.16
0030122205,銅管　１／２Ｈ,22.22X1.0X2500,1.491
0030122210,銅管　１／２Ｈ,22.22X1.0X4000*,2.385
0030122220,銅管　１／２Ｈ,22.22X1.2X4000*,2.835
0030122223,銅管　１／２Ｈ,22.22X2.0X1000,1.136
0030122225,銅管　１／２Ｈ,22.22X2.0X4000,4.545
0030125410,銅管　１／２Ｈ,25.4X1.0X4000*,2.743
0030125415,銅管　１／２Ｈ,25.4X1.2X2500,2.04
0030125420,銅管　１／２Ｈ,25.4X1.35X4000*,3.649
0030128510,銅管　１／２Ｈ,28.58X1.0X4000*,3.1
0030128520,銅管　１／２Ｈ,28.58X1.55X4000*,4.709
0030131710,銅管　１／２Ｈ,31.75X1.1X4000*,3.79
0030131720,銅管　１／２Ｈ,31.75X1.7X4000*,5.742
0030132010,銅管　１／２Ｈ,32X2.0X2500,4.215
0030134910,銅管　１／２Ｈ,34.92X1.85X4000,6.877
0030138110,銅管　１／２Ｈ,38.1X1.35X4000*,5.576
0030138120,銅管　１／２Ｈ,38.1X2.0X4000*,8.115
0030141210,銅管　１／２Ｈ,41.28X1.5X4000,6.707
0030141220,銅管　１／２Ｈ,41.28X2.8X4000,12.11
0030145010,銅管　１／２Ｈ,45X2.0X2500,6.042
0030260710,銅管　１／２Ｈ（ＮＷ）,60.7X2.3X4000,15.098
0030276205,銅管　１／２Ｈ（ＮＷ）,76.2X2.5X3600,18.639
0030276210,銅管　１／２Ｈ（ＮＷ）,76.2X2.5X4000,20.71
0031000010,銅管　１／２Ｈ（製作品）,,0
00310DA000,銅管　１／２Ｈ,,0
00310DA095,銅管　１／２Ｈ,9.53X0.7X5000,0.868
00310EN000,銅管　１／２Ｈ,,0
00310EW000,銅管　１／２Ｈ,,0
00310FT001,銅管　１／２Ｈ,,1.045
00310GK001,銅管　１／２Ｈ,,0
00310GK092,銅管　１／２Ｈ,9.52X0.8X5000,0.98
00310GK122,銅管　１／２Ｈ,12.7X0.9X5000,1.492
00310GK124,銅管　１／２Ｈ,12.7X1.7X5000,2.627
00310GK201,銅管　１／２Ｈ,76.2X2.5X2540,13.151
00310GK202,銅管　１／２Ｈ,60.5X2.3X2530,9.517
00310GK254,銅管　１／２Ｈ,25.4X1.2X4820,3.933
00310GK258,銅管　１／２Ｈ,28.58X1.6X5000,6.065
00310GK317,銅管　１／２Ｈ,31.75X1.6X5000,6.778
00310GK342,銅管　１／２Ｈ,34.92X1.6X5000,7.49
00310GK508,銅管　１／２Ｈ,50.8X1.6X5000,11.06
00310HD001,銅管　１／２Ｈ,,0
00310HK003,銅管　１／２Ｈ　FBGB065H,19.05X0.6X1083,0.337
00310HK005,銅管　１／２Ｈ　EXDB065H,19.05X0.6X1151,0.358
00310HK010,銅管　１／２Ｈ　EWAB064H,19.05X0.6X1285,0.4
00310HS000,銅管　１／２Ｈ,,0
00310HS061,銅管　１／２Ｈ,6X0.6X5000,0.455
00310HS141,銅管　１／２Ｈ,14X0.8X43,0.013
00310HS143,銅管　１／２Ｈ,14X0.8X48,0.014
00310IG000,銅管　１／２Ｈ,,0
00310IR001,銅管　１／２Ｈ,,0
00310IS000,銅管　１／２Ｈ,,0
00310IS060,銅管　１／２Ｈ,6X0.8X5000,0.584
00310IS061,銅管　１／２Ｈ,6X1.0X5000,0.703
00310IS080,銅管　１／２Ｈ,8X0.8X5000,0.809
00310IS081,銅管　１／２Ｈ,8X1.0X5000,0.984
00310IS083,銅管　１／２Ｈ,8X1.2X5000,1.146
00310IS100,銅管　１／２Ｈ,10X0.8X5000,1.034
00310IS101,銅管　１／２Ｈ,10X1.0X5000,1.265
00310IS105,銅管　１／２Ｈ,10X1.6X5000,1.888
00310IS121,銅管　１／２Ｈ,12X1.0X5000,1.546
00310IS251,銅管　１／２Ｈ,25X1.6X5000,5.26
00310KA250,銅管　１／２Ｈ,25X2.5X5000,7.903
00310KB000,銅管　１／２Ｈ,,0
00310KI000,銅管　１／２Ｈ,,0
00310KI120,銅管　１／２Ｈ,12.7X1.2X2200,0.853
00310KI122,銅管　１／２Ｈ,12.7X1.2X2500,0.969
00310KI124,銅管　１／２Ｈ,12.7X1.2X3400,1.318
00310KI126,銅管　１／２Ｈ,12.7X1.2X3500,1.357
